crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
23621,CSCI 2315,Data Structures,TH,1000,1120,Delta Building D241,Ahmed Ahed Abukmail,Fall 2023,100% F2F w/supplmtnl web,Opened
23622,CSCI 2315,Data Structures,TH,1130,1250,Delta Building D241,Ahmed Ahed Abukmail,Fall 2023,100% F2F w/supplmtnl web,Opened
23648,CSCI 2331,Computer Organization and Assembly Language,MW,1300,1420,Delta Building 237,Sayed Banawan,Fall 2023,100% F2F w/supplmtnl web,Opened
23784,CSCI 3321,Numerical Methods,H,1300,1550,DELTA 158A,Terry Feagin,Fall 2023,100% F2F w/supplmtnl web,Opened
23665,CSCI 3352,Adv Data Structr & Algorithms,MW,1030,1150,Delta Building 242,Said Bettayeb,Fall 2023,100% F2F w/supplmtnl web,Closed
23738,CSCI 4312,Network Protocols,W,900,1150,DELTA 140,Kewei Sha,Fall 2023,100% F2F w/supplmtnl web,Opened
23657,CSCI 4320,Web Application Development,MW,930,1050,Delta Building 203,Sayed Banawan,Fall 2023,100% F2F w/supplmtnl web,Opened
23658,CSCI 4320,Web Application Development,W,1600,1850,Delta Building 203,Pradeep Buddharaju,Fall 2023,100% F2F w/supplmtnl web,Opened
23741,CSCI 4323,Computer Security,TH,1130,1250,Delta Building D201,T. Andrew Yang,Fall 2023,100% F2F w/supplmtnl web,Opened
23744,CSCI 4333,Design Of Database Systems,MW,1300,1420,Delta Building 242,Kwok-Bun Yue,Fall 2023,100% F2F w/supplmtnl web,Closed
23745,CSCI 4333,Design Of Database Systems,MW,1600,1720,Delta Building 242,Kwok-Bun Yue,Fall 2023,100% F2F w/supplmtnl web,Opened
23731,CSCI 4354,Operating Systems,MW,1600,1720,Delta Building D241,Alfredo J Perez-Davila,Fall 2023,100% F2F w/supplmtnl web,Opened
23623,CSCI 4355,Programming Language Concepts,TH,1300,1420,Delta Building D241,Ahmed Ahed Abukmail,Fall 2023,100% F2F w/supplmtnl web,Closed
23675,CSCI 4362,Computer Game Programming,W,1900,2150,DELTA 158A,Pradeep Buddharaju,Fall 2023,100% F2F w/supplmtnl web,Closed
21080,CSCI 4364,Computer Systems Administration,M,1600,1850,DELTA 158B,Krishani D Abeysekera,Fall 2023,100% F2F w/supplmtnl web,Closed
23708,CSCI 4379,Internship in Computer Science,TDB,TDB,TDB,TBA,Sadegh Davari,Fall 2023,100% F2F w/supplmtnl web,Opened
25926,CSCI 4381,Computer Forensics,T,1900,2150,TBA,Joshua Todd Baker,Fall 2023,100% F2F w/supplmtnl web,Closed
23732,CSCI 4388,Senior Project in Comp Science,T,1600,1850,Delta Building D241,Alfredo J Perez-Davila,Fall 2023,100% F2F w/supplmtnl web,Opened
23733,CSCI 4388,Senior Project in Comp Science,T,1900,2150,Delta Building D241,Alfredo J Perez-Davila,Fall 2023,100% F2F w/supplmtnl web,Opened
23728,CSCI 4391,Select Topics Computer Science,TH,1600,1720,Delta Building 136,Khondker Shajadul Hasan,Fall 2023,100% F2F w/supplmtnl web,Opened
23624,CSCI 5132,Internet Protocols,M,1600,1850,Delta Building 237,Hisham Al-Mubaid,Fall 2023,100% F2F w/supplmtnl web,Closed
23625,CSCI 5134,Concurrent Programming and Software Modeling,T,1900,2150,Delta Building 242,Hisham Al-Mubaid,Fall 2023,100% F2F w/supplmtnl web,Opened
23858,CSCI 5233,Computer Security and Cryptography,H,1300,1550,Delta Building D201,T. Andrew Yang,Fall 2023,100% F2F w/supplmtnl web,Closed
23742,CSCI 5235,Network Security,T,1300,1550,Delta Building D201,T. Andrew Yang,Fall 2023,100% F2F w/supplmtnl web,Opened
23729,CSCI 5333,Data Base Management System,TH,1300,1420,Delta Building 237,Khondker Shajadul Hasan,Fall 2023,100% F2F w/supplmtnl web,Opened
23730,CSCI 5333,Data Base Management System,M,1300,1550,Delta Building D241,Khondker Shajadul Hasan,Fall 2023,100% F2F w/supplmtnl web,Opened
23631,CSCI 5336,Machine Learning,W,1300,1550,Delta Building D241,Hisham Al-Mubaid,Fall 2023,100% F2F w/supplmtnl web,Opened
23667,CSCI 5432,Design & Analysis Algorithms,MW,900,1020,Delta Building 242,Said Bettayeb,Fall 2023,100% F2F w/supplmtnl web,Opened
